evals,median,q25,q75
11560,14.925094253624891,12.93552450883935,17.412166149215835
11640,14.925054318418077,12.935365954815317,17.412106607993962
11720,14.924976863087252,12.935196294830419,17.412087725407446
11800,14.924954348299352,12.935196294830419,17.41203823221894
11880,14.924877741167549,12.93498995135402,17.412035163627316
11960,14.924800554667513,12.93498995135402,17.412008231422007
12040,14.924792791801977,12.934870928028069,17.41199953957822
12120,14.924739501395223,12.934870928028069,17.41195201865858
12200,14.924734629385355,12.934870928028069,17.411946320919448
12280,14.92473189041499,12.93486939077966,17.411902570611694
12360,14.924660592403669,12.93483164561956,17.41189887688457
12440,14.924628469499694,12.934804185440939,17.411865288804464
12520,14.924614343025766,12.934802635918643,17.411865288804464
12600,14.924597958891141,12.934759553282632,17.411856662328937
12680,14.924588506997466,12.934759553282632,17.411855395549402
12760,14.924539528870937,12.93471966237329,17.411837234189974
12840,14.924539528870937,12.93471839956839,17.411833652358588
12920,14.924539528870937,12.934691795783202,17.411824263390564
13000,14.924506635415966,12.934687007047202,17.411824263390564
13080,14.924491921599426,12.934665314470962,17.411819636882818
13160,14.924491921599426,12.93466065973297,17.411819341941346
13240,14.924487899082635,12.934639115717616,17.411813203626778
13320,14.92447145913816,12.934639115717616,17.411810753084822
13400,14.924466658473676,12.934611803161218,17.411809992313117
13480,14.924443874975623,12.934611803161218,17.411806780232617
13560,14.924435957104222,12.934607719497151,17.411800478776193
13640,14.924435957104222,12.934602308315348,17.411799191725542
13720,14.924434656960742,12.934575986423788,17.411797597976864
13800,14.924434656960742,12.934561562251105,17.41179453695449
13880,14.924425200366471,12.93455922476604,17.411791878801914
13960,14.9244228682617,12.93455191086285,17.41178824845141
14040,14.924419801759313,12.934551329739563,17.41178824845141
14120,14.924419801759313,12.934537808684226,17.41178705109082
14200,14.924413132834786,12.934533985681043,17.411784371848114
14280,14.924411348615834,12.934532752611588,17.41178241061352
14360,14.924410734087942,12.93452202614177,17.41178234345943
14440,14.924408465096406,12.934516539132353,17.411782183868276
14520,14.924400079968237,12.934516201446584,17.411781778321043
14600,14.924400079968237,12.934506070353123,17.41178016062448
14680,14.924399365906254,12.93450500632106,17.411776573880793
14760,14.924396972412268,12.93450178417173,17.411776515510233
14840,14.924394260931123,12.934497803998646,17.411775356674077
14920,14.924394260931123,12.934495234342016,17.411775356674077
15000,14.924391913535985,12.934493180351552,17.411774661085836
15080,14.924390895167832,12.934486349015188,17.41177461820285
15160,14.924390412472349,12.934484935418098,17.411774183299386
15240,14.924390412472349,12.934484935418098,17.411774183299386
15320,14.924390412472349,12.934484935418098,17.411773606901853
15400,14.924389063485705,12.934484935418098,17.411773252842117
15480,14.924388964485217,12.934482294875068,17.411773001517638
15560,14.924387666593276,12.93448123655368,17.411772930766013
15640,14.924387428571109,12.934481185373976,17.41177286261844
15720,14.924387121950872,12.9344802914867,17.41177269662297
15800,14.924386183918884,12.934476535458415,17.41177237372502
15880,14.924385829812977,12.934475465976163,17.411772294244045
15960,14.924385829812977,12.93447518271688,17.41177209441119
16040,14.924384863586269,12.93447409141929,17.411772013484978
16120,14.924384863586269,12.934472729257642,17.411771818381226
16200,14.924384395689572,12.934472083941998,17.411771658329812
16280,14.924384216878622,12.934471918683542,17.411771640192015
16360,14.924384059229723,12.934471300156396,17.41177161440202
16440,14.924383737038212,12.934470730459289,17.41177161420393
16520,14.92438331044545,12.934469674993856,17.411771536223263
16600,14.924382730741243,12.934469184558537,17.411771486481477
16680,14.924382730741243,12.934467943244435,17.411771404624716
16760,14.924382423100468,12.934466996565597,17.41177134834949
16840,14.924382423100468,12.934466696726133,17.41177127698036
16920,14.924382349484318,12.934466322221716,17.41177126957207
17000,14.92438218957976,12.934465973862608,17.411771267467472
17080,14.924382183589444,12.934465565749882,17.411771215472484
17160,14.92438192560455,12.93446555358937,17.411771155959734
17240,14.92438192560455,12.934465363307254,17.411771155959734
17320,14.924381808242359,12.93446523004937,17.41177115319256
17400,14.924381761488817,12.93446510904365,17.411771106629878
17480,14.924381684950532,12.934464996889893,17.411771074168037
17560,14.924381590365101,12.934464781359694,17.411771064208892
17640,14.924381414383376,12.934464571796468,17.411771025247994
17720,14.924381412546282,12.934464571796468,17.41177101453941
17800,14.924381361958396,12.934464505631638,17.41177101453941
17880,14.924381321718968,12.934464161397493,17.41177101453941
17960,14.924381303542248,12.934463799197331,17.411771014415017
18040,14.9243812490392,12.934463790132348,17.4117709880993
18120,14.924381215082448,12.934463616472542,17.4117709777399
18200,14.924381158507884,12.934463578362596,17.41177097117435
18280,14.924381100900987,12.93446350013496,17.41177096674175
18360,14.924381053152075,12.934463494431306,17.41177096162056
18440,14.92438103422586,12.934463400633803,17.411770960355724
18520,14.924381027778324,12.934463396822004,17.411770950028256
18600,14.924381024573478,12.934463288442224,17.411770943470003
18680,14.924380994427878,12.934463270184075,17.411770943416848
18760,14.9243809817727,12.934463239600177,17.411770940725987
18840,14.924380963688748,12.934463239005566,17.411770940725987
18920,14.924380963688748,12.934463208211682,17.411770934502442
19000,14.924380959784742,12.934463164109275,17.411770932286743
19080,14.92438094643704,12.934463103216686,17.4117709306376
19160,14.924380918920633,12.9344630988179,17.411770929746687
19240,14.924380915680914,12.934463079898272,17.411770929746687
19320,14.924380905405783,12.934463042542582,17.411770929746687
19400,14.924380899546946,12.934463011953774,17.411770924305863
19480,14.92438088662513,12.934462979108183,17.41177092325507
19560,14.92438088662513,12.934462931152403,17.41177092055515
19640,14.924380883064202,12.934462921111795,17.41177091834362
19720,14.924380878659221,12.934462900893976,17.41177091613003
19800,14.924380869733781,12.934462883780604,17.41177091510452
19880,14.924380869733781,12.934462866622333,17.4117709149199
19960,14.924380867621863,12.934462835392324,17.41177091400953
